folio,numcheque,fecha,salidarepartidor,cierre,mesa,nopersonas,cambio,descuento,facturado,cambiorepartidor,usuariodescuento,idtipodescuento,propinapagada,propinafoliomovtocaja,propinaincluida,propinamanual,totalarticulos,subtotal,subtotalsinimpuestos,total,totalconpropina,totalimpuesto1,cargo,totalconcargo,totalconpropinacargo,descuentoimporte,efectivo,tarjeta,vales,otros,propina,propinatarjeta,totalsindescuento,totalalimentos,totalbebidas,totalotros,totaldescuentos,totaldescuentoalimentos,totaldescuentobebidas,totaldescuentootros,totalcortesias,totalcortesiaalimentos,totalcortesiabebidas,totalcortesiaotros,totaldescuentoycortesia,totalalimentossindescuentos,totalbebidassindescuentos,totalotrossindescuentos,descuentocriterio,subtotalcondescuento,totalimpuestod1,totalcondonativo,totalconpropinacargodonativo,subtotal_ec,total_ec,totalconpropinacargo_ec,totalsindescuentoimp
106887,106173,2026-06-22T03:06:28-06:00,,2026-06-22T04:06:12-06:00,A5,2,142.0000,0.0000,False,0.0000,,,False,0,0.0000,False,4.00,308.6207,,358.0000,358.0000,49.3793,0.0000,358.0000,358.0000,0.0000,358.0,0.0,0.0000,0.0,0.0000,0.0000,308.6207,194.8276,113.7931,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,194.8276,113.7931,0.0000,,308.6207,49.3793,0.0000,0.0000,,,,0.0000
106891,106175,2026-06-22T03:28:05-06:00,,2026-06-22T04:19:51-06:00,T7,1,48.0000,0.0000,False,0.0000,,,False,0,0.0000,False,3.00,303.4483,,352.0000,352.0000,48.5517,0.0000,352.0000,352.0000,0.0000,352.0,0.0,0.0000,0.0,0.0000,0.0000,303.4483,267.2414,36.2069,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,267.2414,36.2069,0.0000,,303.4483,48.5517,0.0000,0.0000,,,,0.0000
106896,106183,2026-06-22T03:44:28-06:00,,2026-06-22T05:23:33-06:00,L67,14,71.0000,0.0000,False,0.0000,,,False,0,0.0000,False,32.00,2352.5862,,2729.0000,2729.0000,376.4138,0.0000,2729.0000,2729.0000,0.0000,2729.0,0.0,0.0000,0.0,0.0000,0.0000,2352.5862,1685.3448,667.2414,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1685.3448,667.2414,0.0000,,2352.5862,376.4138,0.0000,0.0000,,,,0.0000
106899,106195,2026-06-22T04:17:23-06:00,,2026-06-22T06:18:38-06:00,T6,1,106.0000,0.0000,False,0.0000,,,False,0,0.0000,False,4.00,339.6552,,394.0000,394.0000,54.3448,0.0000,394.0000,394.0000,0.0000,394.0,0.0,0.0000,0.0,0.0000,0.0000,339.6552,195.6897,143.9655,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,195.6897,143.9655,0.0000,,339.6552,54.3448,0.0000,0.0000,,,,0.0000
106900,106182,2026-06-22T04:20:09-06:00,,2026-06-22T05:13:48-06:00,F3,1,55.0000,0.0000,False,0.0000,,,False,0,0.0000,False,7.00,556.0345,,645.0000,645.0000,88.9655,0.0000,645.0000,645.0000,0.0000,645.0,0.0,0.0000,0.0,0.0000,0.0000,556.0345,343.9655,212.0690,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,343.9655,212.0690,0.0000,,556.0345,88.9655,0.0000,0.0000,,,,0.0000
106902,106180,2026-06-22T04:27:11-06:00,,2026-06-22T05:03:03-06:00,A5,2,3.0000,0.0000,False,0.0000,,,False,0,0.0000,False,5.00,428.4483,,497.0000,497.0000,68.5517,0.0000,497.0000,497.0000,0.0000,497.0,0.0,0.0000,0.0,0.0000,0.0000,428.4483,300.8621,127.5862,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,300.8621,127.5862,0.0000,,428.4483,68.5517,0.0000,0.0000,,,,0.0000
106903,106193,2026-06-22T04:27:15-06:00,,2026-06-22T06:12:04-06:00,L1,6,29.0000,0.0000,False,0.0000,,,False,0,0.0000,False,18.00,1268.1034,,1471.0000,1471.0000,202.8966,0.0000,1471.0000,1471.0000,0.0000,1471.0,0.0,0.0000,0.0,0.0000,0.0000,1268.1034,916.3793,351.7241,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,916.3793,351.7241,0.0000,,1268.1034,202.8966,0.0000,0.0000,,,,0.0000
106910,106202,2026-06-22T05:24:34-06:00,,2026-06-22T07:22:22-06:00,A5,2,0.0000,0.0000,False,0.0000,,,False,0,0.0000,False,5.00,443.1034,,514.0000,514.0000,70.8966,0.0000,514.0000,514.0000,0.0000,514.0,0.0,0.0000,0.0,0.0000,0.0000,443.1034,278.4483,164.6552,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,278.4483,164.6552,0.0000,,443.1034,70.8966,0.0000,0.0000,,,,0.0000
106919,106201,2026-06-22T05:46:53-06:00,,2026-06-22T07:11:48-06:00,E2,2,136.0000,0.0000,False,0.0000,,,False,0,0.0000,False,4.00,313.7931,,364.0000,364.0000,50.2069,0.0000,364.0000,364.0000,0.0000,364.0,0.0,0.0000,0.0,0.0000,0.0000,313.7931,241.3793,72.4138,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,241.3793,72.4138,0.0000,,313.7931,50.2069,0.0000,0.0000,,,,0.0000
106920,106218,2026-06-22T05:55:17-06:00,,2026-06-22T08:49:49-06:00,L3,2,15.0000,0.0000,False,0.0000,,,False,0,0.0000,False,3.00,159.4828,,185.0000,185.0000,25.5172,0.0000,185.0000,185.0000,0.0000,185.0,0.0,0.0000,0.0,0.0000,0.0000,159.4828,0.0000,159.4828,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,159.4828,0.0000,,159.4828,25.5172,0.0000,0.0000,,,,0.0000
106922,106205,2026-06-22T06:05:36-06:00,,2026-06-22T07:43:35-06:00,A1,2,188.0000,0.0000,False,0.0000,,,False,0,0.0000,False,6.00,268.9655,,312.0000,312.0000,43.0345,0.0000,312.0000,312.0000,0.0000,312.0,0.0,0.0000,0.0,0.0000,0.0000,268.9655,156.8966,112.0690,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,156.8966,112.0690,0.0000,,268.9655,43.0345,0.0000,0.0000,,,,0.0000
106925,106203,2026-06-22T06:46:14-06:00,,2026-06-22T07:32:49-06:00,A3,2,316.0000,0.0000,False,0.0000,,,False,0,0.0000,False,2.00,158.6207,,184.0000,184.0000,25.3793,0.0000,184.0000,184.0000,0.0000,184.0,0.0,0.0000,0.0,0.0000,0.0000,158.6207,112.0690,46.5517,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,112.0690,46.5517,0.0000,,158.6207,25.3793,0.0000,0.0000,,,,0.0000
106926,106204,2026-06-22T06:53:46-06:00,,2026-06-22T07:39:21-06:00,L1,5,69.0000,0.0000,False,0.0000,,,False,0,0.0000,False,13.00,975.0000,,1131.0000,1131.0000,156.0000,0.0000,1131.0000,1131.0000,0.0000,1131.0,0.0,0.0000,0.0,0.0000,0.0000,975.0000,731.0345,243.9655,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,731.0345,243.9655,0.0000,,975.0000,156.0000,0.0000,0.0000,,,,0.0000
106931,106220,2026-06-22T07:59:27-06:00,,2026-06-22T09:40:33-06:00,F3,1,95.0000,0.0000,False,0.0000,,,False,0,0.0000,False,5.00,435.3448,,505.0000,505.0000,69.6552,0.0000,505.0000,505.0000,0.0000,505.0,0.0,0.0000,0.0,0.0000,0.0000,435.3448,335.3448,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,335.3448,100.0000,0.0000,,435.3448,69.6552,0.0000,0.0000,,,,0.0000
106936,106227,2026-06-22T09:47:17-06:00,,2026-06-22T11:01:34-06:00,L4,2,404.0000,0.0000,False,0.0000,,,False,0,0.0000,False,7.00,513.7931,,596.0000,596.0000,82.2069,0.0000,596.0000,596.0000,0.0000,596.0,0.0,0.0000,0.0,0.0000,0.0000,513.7931,360.3448,153.4483,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,360.3448,153.4483,0.0000,,513.7931,82.2069,0.0000,0.0000,,,,0.0000
106937,106232,2026-06-22T09:47:42-06:00,,2026-06-22T12:14:36-06:00,L2,1,53.0000,0.0000,False,0.0000,,,False,0,0.0000,False,3.00,212.9310,,247.0000,247.0000,34.0690,0.0000,247.0000,247.0000,0.0000,247.0,0.0,0.0000,0.0,0.0000,0.0000,212.9310,76.7241,136.2069,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,76.7241,136.2069,0.0000,,212.9310,34.0690,0.0000,0.0000,,,,0.0000
